Experiment,Instance,Node,GPUs,Size,Baseline(sec),Time(sec),Speedup,Efficiency
NCCL,p5.48xlarge,2,16,16384x16384,472.1434,31.5063,14.98,93.64
NCCL,p5.48xlarge,4,32,16384x16384,472.6806,15.0638,31.38,98.06
NCCL,p5.48xlarge,8,64,16384x16384,472.0363,7.8194,60.37,94.32
NCCL,p5.48xlarge,16,128,16384x16384,472.2773,4.4598,105.90,82.73
NCCL w/ Overlap,p5.48xlarge,2,16,16384x16384,471.3865,31.4276,15.00,93.74
NCCL w/ Overlap,p5.48xlarge,4,32,16384x16384,472.399,16.737,28.22,88.20
NCCL w/ Overlap,p5.48xlarge,8,64,16384x16384,471.4654,9.4479,49.90,77.97
NCCL w/ Overlap,p5.48xlarge,16,128,16384x16384,472.4438,5.9992,78.75,61.52
NCCL w/ Overlap + CUDA Graph,p5.48xlarge,2,16,16384x16384,471.9803,31.4152,15.02,93.90
NCCL w/ Overlap + CUDA Graph,p5.48xlarge,4,32,16384x16384,472.0795,16.7363,28.21,88.15
NCCL w/ Overlap + CUDA Graph,p5.48xlarge,8,64,16384x16384,472.5813,9.5037,49.73,77.70
NCCL w/ Overlap + CUDA Graph,p5.48xlarge,16,128,16384x16384,472.3459,6.1644,76.62,59.86
NCCL w/ Overlap + CUDA Graph + User Buffer,p5.48xlarge,2,16,16384x16384,472.1673,31.4831,15.00,93.73
NCCL w/ Overlap + CUDA Graph + User Buffer,p5.48xlarge,4,32,16384x16384,472.3695,16.7539,28.19,88.11
NCCL w/ Overlap + CUDA Graph + User Buffer,p5.48xlarge,8,64,16384x16384,472.2369,9.5894,49.25,76.95
NCCL w/ Overlap + CUDA Graph + User Buffer,p5.48xlarge,16,128,16384x16384,472.3606,6.3736,74.11,57.90
NVSHMEM,p5.48xlarge,2,16,16384x16384,472.2941,42.4399,11.13,69.55
NVSHMEM,p5.48xlarge,4,32,16384x16384,472.1918,28.3470 ,16.66,52.05
NVSHMEM,p5.48xlarge,8,64,16384x16384,472.3249,26.0977,18.10,28.28
NVSHMEM,p5.48xlarge,16,128,16384x16384,472.3562,24.4107,19.35,15.12
NVSHMEM w/ Block Comm,p5.48xlarge,2,16,16384x16384,472.5719,29.6598,15.93,99.58
NVSHMEM w/ Block Comm,p5.48xlarge,4,32,16384x16384,472.5714,15.0085,31.49,98.40
NVSHMEM w/ Block Comm,p5.48xlarge,8,64,16384x16384,472.2101,7.7129,61.22,95.66
NVSHMEM w/ Block Comm,p5.48xlarge,16,128,16384x16384,472.7449,4.2309,111.74,87.29
NVSHMEM w/ Block Comm + Overlap + Neighborhood Sync,p5.48xlarge,2,16,16384x16384,472.3484,29.5221,16.00,100.00
NVSHMEM w/ Block Comm + Overlap + Neighborhood Sync,p5.48xlarge,4,32,16384x16384,472.5963,14.7905,31.95,99.85
NVSHMEM w/ Block Comm + Overlap + Neighborhood Sync,p5.48xlarge,8,64,16384x16384,472.1330,7.4350 ,63.50,99.22
NVSHMEM w/ Block Comm + Overlap + Neighborhood Sync,p5.48xlarge,16,128,16384x16384,472.2132,3.7493,125.95,98.40
