Nodes,GPUs,size(MB),iterations,algbw(GB/s)
2,16,2,1000,33.481
2,16,4,1000,33.123
2,16,8,1000,35.142
2,16,16,1000,36.290
2,16,32,1000,36.977
2,16,64,1000,37.376
2,16,128,1000,8.194
4,32,2,1000,29.950
4,32,4,1000,33.200
4,32,8,1000,35.269
4,32,16,1000,36.423
4,32,32,1000,37.128
4,32,64,1000,37.521
4,32,128,1000,9.452
8,64,2,1000,34.071
8,64,4,1000,33.337
8,64,8,1000,35.267
8,64,16,1000,36.411
8,64,32,1000,37.095
8,64,64,1000,37.481
8,64,128,1000,8.512
16,128,2,1000,32.523
16,128,4,1000,33.326
16,128,8,1000,35.271
16,128,16,1000,36.508
16,128,32,1000,37.204
16,128,64,1000,37.616
16,128,128,1000,8.597
32,256,2,1000,34.464
32,256,4,1000,33.440
32,256,8,1000,35.430
32,256,16,1000,36.601
32,256,32,1000,37.231
32,256,64,1000,37.643
32,256,128,1000,8.111
